Year,Country,Region,Yearly_Emission,GDP per capita
2020,Sierra Leone,Western_Africa,942.9706638166667,-3.981654333
2021,Sierra Leone,Western_Africa,946.2950893000001,0.969818019
2020,El Salvador,Rest Central America,918.7273124416665,-9.041506281
2021,El Salvador,Rest Central America,991.6811738249999,10.25185314
2020,Somalia,Eastern_Africa,2201.7083750833335,-0.462294726
2021,Somalia,Eastern_Africa,2205.373713833333,0.389176873
2020,Sao Tome and Principe,Western_Africa,26.717142611666663,1.155038083
2021,Sao Tome and Principe,Western_Africa,27.5884105775,-0.115552193
2020,Suriname,Rest South America,228.58915185,-16.66353165
2021,Suriname,Rest South America,246.36699611666668,-4.320904583
2020,Slovenia,Central Europe,1414.420653833333,-4.868547157
2021,Slovenia,Central Europe,1398.25277,7.879139046
2020,Sweden,OECD_Europe,8732.673685583335,-3.643079592
2021,Sweden,OECD_Europe,8818.332719583332,4.173074337
2020,Seychelles,Eastern_Africa,84.3575319575,-8.507936314
2021,Seychelles,Eastern_Africa,87.58531703499999,1.08717067
2020,Turks and Caicos Islands,Rest Central America,19.354666454166665,-27.77377967
2021,Turks and Caicos Islands,Rest Central America,21.460869419166666,0.777744353
2020,Chad,Western_Africa,1353.4280892500003,-4.46934426
2021,Chad,Western_Africa,1360.8791386666664,-4.056963406
2020,Togo,Western_Africa,841.0019060499999,-0.660830191
2021,Togo,Western_Africa,852.7814072249998,2.783664567
2020,Thailand,Southeastern Asia,42514.2401775,-6.429862088
2021,Thailand,Southeastern Asia,43818.05403,1.347242931
2020,Tajikistan,Asia-Stan,787.9011550416667,2.028914954
2021,Tajikistan,Asia-Stan,863.8861402833335,6.825885371
2020,Timor-Leste,Southeastern Asia,66.841422185,8.252053137
2021,Timor-Leste,Southeastern Asia,66.86130329416667,2.424215621
2020,Trinidad and Tobago,Rest Central America,2425.8834600833334,-7.673575137
2021,Trinidad and Tobago,Rest Central America,2420.6752040833335,-1.259271741
2020,Tunisia,Northern_Africa,2623.9017277499997,-9.691725725
2021,Tunisia,Northern_Africa,2973.8656693333337,2.328523371
2020,Uganda,Eastern_Africa,7332.0919145,-0.360468368
2021,Uganda,Eastern_Africa,7509.534610333333,0.346631742
2020,Ukraine,Ukraine +,17793.609747500002,-3.101658589
2021,Ukraine,Ukraine +,17653.50856666667,4.318458481
2020,Uruguay,Rest South America,1838.8437602499998,-6.445671809
2021,Uruguay,Rest South America,1878.3696379166665,4.02487414
2020,United States,USA,417760.97634166665,-4.328617754
2021,United States,USA,440806.0471166666,5.546087223
2020,Uzbekistan,Asia-Stan,10297.193793999999,-0.053436006
2021,Uzbekistan,Asia-Stan,10585.3289745,5.318632477
2020,Vanuatu,Oceania,26.30062088583333,-7.640367545
2021,Vanuatu,Oceania,26.969786054999997,-1.806575899
2020,Samoa,Oceania,34.840466105833336,-3.236475806
2021,Samoa,Oceania,35.90915512916666,-8.874948283
2020,South Africa,Southern_Africa,39952.39463166668,-7.615875502
2021,South Africa,Southern_Africa,40516.65039333334,3.633257723
2020,Zambia,Southern_Africa,3040.57705,-5.550283259
2021,Zambia,Southern_Africa,3082.72655725,0.634881724
2020,Zimbabwe,Southern_Africa,3821.4973730833335,-7.620388191
2021,Zimbabwe,Southern_Africa,4058.8293073333334,4.2416097
