Year,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Region,Yearly_Emission,GDP per capita
2021,Spain,12468.0,4084147.0,102.0,81306.0,OECD_Europe,22869.42173916667,5.211050003
2020,Spain,5371.0,528692.0,150.0,25511.0,OECD_Europe,21225.049905833333,-11.2532668
2020,Sri Lanka,119.0,5861.0,1.0,25.0,India +,3741.436717416667,-4.125280253
2021,Sri Lanka,1490.0,291743.0,40.0,5768.0,India +,3685.282495249999,2.54684074
2021,Sudan,58.0,36114.0,5.0,2558.0,Eastern_Africa,5284.418614916667,-2.248606652
2020,Sudan,70.0,8201.0,4.0,524.0,Eastern_Africa,5206.7413045,-5.906758637
2021,Suriname,126.0,24811.0,3.0,557.0,Rest South America,246.36699611666668,-4.320904583
2020,Suriname,17.0,2045.0,0.0,42.0,Rest South America,228.58915185,-16.66353165
2020,Sweden,1201.0,81844.0,27.0,4072.0,OECD_Europe,8732.673685583335,-3.643079592
2021,Sweden,2403.0,985568.0,16.0,14134.0,OECD_Europe,8818.332719583332,4.173074337
2020,Switzerland,1239.0,80748.0,21.0,1822.0,OECD_Europe,3527.1532259166665,-3.085400925
2021,Switzerland,2421.0,736738.0,12.0,10266.0,OECD_Europe,3602.7400885833335,2.96299404
2020,Tajikistan,38.0,5492.0,0.0,44.0,Asia-Stan,787.9011550416667,2.028914954
2021,Tajikistan,10.0,15281.0,0.0,107.0,Asia-Stan,863.8861402833335,6.825885371
2021,Thailand,6073.0,765326.0,59.0,7364.0,Southeastern Asia,43818.05403,1.347242931
2020,Thailand,19.0,2664.0,0.0,43.0,Southeastern Asia,42514.2401775,-6.429862088
2020,Timor-Leste,0.0,19.0,0.0,0.0,Southeastern Asia,66.841422185,8.252053137
2021,Timor-Leste,54.0,9700.0,0.0,47.0,Southeastern Asia,66.86130329416667,2.424215621
2021,Togo,73.0,16144.0,0.0,155.0,Western_Africa,852.7814072249998,2.783664567
2020,Togo,10.0,1039.0,0.0,24.0,Western_Africa,841.0019060499999,-0.660830191
2020,Trinidad and Tobago,20.0,1880.0,0.0,35.0,Rest Central America,2425.8834600833334,-7.673575137
2021,Trinidad and Tobago,229.0,33333.0,7.0,916.0,Rest Central America,2420.6752040833335,-1.259271741
2021,Tunisia,1613.0,467987.0,57.0,16345.0,Northern_Africa,2973.8656693333337,2.328523371
2020,Tunisia,377.0,20914.0,13.0,614.0,Northern_Africa,2623.9017277499997,-9.691725725
2020,Turks and Caicos Islands,2.0,270.0,0.0,3.0,Rest Central America,19.354666454166665,-27.77377967
2021,Turks and Caicos Islands,7.0,2437.0,0.0,18.0,Rest Central America,21.460869419166666,0.777744353
2020,Uganda,97.0,5409.0,1.0,55.0,Eastern_Africa,7332.0919145,-0.360468368
2021,Uganda,294.0,80990.0,8.0,1696.0,Eastern_Africa,7509.534610333333,0.346631742
2021,Ukraine,7158.0,2212110.0,212.0,50449.0,Ukraine +,17653.50856666667,4.318458481
2020,Ukraine,2898.0,178937.0,51.0,3310.0,Ukraine +,17793.609747500002,-3.101658589
2021,Uruguay,1075.0,268875.0,16.0,3997.0,Rest South America,1878.3696379166665,4.02487414
2020,Uruguay,49.0,1990.0,0.0,33.0,Rest South America,1838.8437602499998,-6.445671809
2020,Uzbekistan,212.0,26500.0,2.0,207.0,Asia-Stan,10297.193793999999,-0.053436006
2021,Uzbekistan,334.0,127053.0,2.0,912.0,Asia-Stan,10585.3289745,5.318632477
2020,Vanuatu,0.0,0.0,0.0,0.0,Oceania,26.30062088583333,-7.640367545
2021,Vanuatu,0.0,3.0,0.0,0.0,Oceania,26.969786054999997,-1.806575899
2021,Zambia,627.0,143451.0,9.0,2319.0,Southern_Africa,3082.72655725,0.634881724
2020,Zambia,56.0,6642.0,1.0,146.0,Southern_Africa,3040.57705,-5.550283259
2020,Zimbabwe,37.0,3636.0,1.0,102.0,Southern_Africa,3821.4973730833335,-7.620388191
2021,Zimbabwe,543.0,81927.0,13.0,2808.0,Southern_Africa,4058.8293073333334,4.2416097
